Customer_ID,Campaign_ID,Promotion_Type,Sent_Date,Click_Status,Click_Date
C026,SAV2025,SMS,7/1/2025,NO,
C038,CC2025,Push,25/2/2025,NO,
C015,,App,25/8/2025 6:10,NO,
C031,UPG2025,Social,26/4/2025,NO,
C030,CC2025,App,6/3/2025,unknown,12/7/2025
C031,SAV2025,SMS,24/5/2025,NaN,6/9/2025
C010,CC2025,NULL,17/7/2025,NO,
C034,CC2025,App,8/1/2025 21:00,YES,31/5/2025 8:38
C015,SAV2025,Push,20/8/2025 11:50,NO,
C011,UPG2025,SMS,16/2/2025,NO,
C013,CC2025,App,20/4/2025,YES,1/3/2025 17:07
C009,CC2025,Social,10/9/2025 17:03,unknown,
C016,CC2025,SMS,26/3/2025,YES,14/6/2025 14:44
C030,CC2025,,7/8/2025 13:43,NO,
C002,UPG2025,App,24/1/2025,YES,18/2/2025 16:30
C003,SAV2025,undefined,1/8/2025 20:08,NO,
C022,error,NULL,27/9/2025,,25/6/2025 13:16
C019,CC2025,Email,10/9/2025 12:21,NULL,17/9/2025
C022,SAV2025,Email,12/6/2025 22:19,NO,
C003,CC2025,NULL,27/7/2025 17:36,YES,4/1/2025
C039,UPG2025,???,31/1/2025 16:58,NaN,17/3/2025
C044,NULL,App,19/4/2025,NULL,
C007,UPG2025,Email,3/4/2025,NO,
C024,SAV2025,Push,8/6/2025 17:45,YES,4/8/2025 1:20
C042,UPG2025,Social,28/1/2025 15:36,NO,
C037,UPG2025,999999999,27/7/2025 14:04,YES,21/3/2025 15:49
C006,UPG2025,Email,30/8/2025 6:57,YES,3/1/2025
C014,SAV2025,Social,8/3/2025 15:01,NO,
C047,UPG2025,App,6/4/2025,NO,
C047,SAV2025,Email,31/5/2025,YES,11/5/2025 1:45
NULL,UPG2025,Social,10/2/2025 12:19,unknown,
C039,,,11/6/2025,NaN,27/3/2025 4:51
C041,CC2025,,2/9/2025,-9999,
C022,CC2025,Push,24/5/2025,NO,
???,UPG2025,NaN,8/1/2025,NO,
C025,CC2025,???,12/7/2025,,
C045,SAV2025,,14/6/2025 8:17,NO,
C019,SAV2025,Push,17/3/2025,YES,13/9/2025 11:34
NULL,CC2025,undefined,13/4/2025,YES,30/1/2025 21:25
C017,error,Push,5/1/2025 12:29,YES,1/7/2025 2:14
unknown,UPG2025,error,14/6/2025 15:32,YES,9/4/2025
C024,UPG2025,undefined,3/7/2025 12:49,YES,23/1/2025
C041,CC2025,App,11/2/2025 4:20,YES,23/9/2025 19:01
???,CC2025,App,20/4/2025,YES,17/8/2025
C017,SAV2025,Social,23/6/2025 6:11,NULL,18/1/2025
NULL,SAV2025,Push,23/7/2025,YES,30/4/2025
C026,SAV2025,App,18/8/2025,NO,
C012,SAV2025,Email,12/5/2025,NO,
C017,UPG2025,App,5/9/2025 1:06,NO,
,unknown,-9999,2/6/2025 18:37,NO,
C021,CC2025,Email,12/5/2025 12:07,YES,14/8/2025 7:51
C030,UPG2025,Email,10/4/2025,YES,11/7/2025
C025,SAV2025,App,8/2/2025 14:21,YES,1/3/2025 20:23
C048,SAV2025,,3/4/2025 22:28,YES,18/3/2025 8:26
C002,undefined,???,1/6/2025 10:51,,12/6/2025 14:57
C033,SAV2025,App,19/4/2025,YES,14/4/2025
C016,SAV2025,NaN,19/7/2025,YES,31/5/2025 4:40
C022,UPG2025,SMS,13/3/2025,NO,
C012,CC2025,App,11/8/2025 1:58,YES,3/4/2025 4:53
C046,SAV2025,Social,11/4/2025,NO,
C049,CC2025,App,31/3/2025,,
C038,CC2025,SMS,14/4/2025,YES,29/1/2025 16:51
C041,CC2025,SMS,16/2/2025,YES,17/5/2025 7:11
C003,SAV2025,App,10/7/2025,YES,17/8/2025 16:04
C021,UPG2025,NULL,15/7/2025,999999999,25/2/2025 23:31
NULL,UPG2025,NULL,10/3/2025,YES,4/4/2025 5:06
C002,SAV2025,NULL,19/2/2025 22:47,undefined,26/8/2025
C023,SAV2025,NULL,2/4/2025 1:17,YES,14/9/2025 8:07
C009,undefined,Social,27/4/2025,YES,23/7/2025 5:52
C045,CC2025,NULL,27/9/2025,YES,5/7/2025 10:25
C046,CC2025,Social,14/6/2025 12:54,YES,17/3/2025 21:59
C043,UPG2025,999999999,6/1/2025 11:06,,10/8/2025
C009,CC2025,Email,23/7/2025 14:40,NO,
C003,,Push,17/5/2025 21:39,YES,19/1/2025 19:06
C001,CC2025,Push,2/5/2025 1:18,YES,27/3/2025 3:03
C018,SAV2025,,27/8/2025,YES,19/9/2025 4:56
C037,CC2025,Social,21/5/2025 7:47,YES,21/8/2025 19:44
C013,UPG2025,Social,7/7/2025 14:57,NO,
C020,SAV2025,App,5/5/2025 10:14,YES,22/7/2025 0:59
C021,UPG2025,SMS,16/6/2025 15:17,NULL,
C004,error,SMS,23/3/2025,YES,1/2/2025
C048,-9999,App,24/9/2025,???,22/6/2025 21:22
C040,,error,22/5/2025,NO,
C018,UPG2025,Push,7/3/2025 13:55,YES,2/3/2025
C010,CC2025,Social,24/5/2025 19:38,NO,
,UPG2025,Social,30/6/2025 9:22,NO,
NaN,CC2025,App,4/1/2025,YES,3/6/2025 5:34
C028,UPG2025,SMS,13/7/2025 18:14,undefined,
unknown,SAV2025,Email,16/6/2025,NO,
C004,CC2025,Social,12/9/2025 9:58,YES,12/8/2025 16:52
C025,,,3/7/2025,-9999,6/1/2025 21:04
undefined,CC2025,App,14/9/2025 12:41,NO,
,CC2025,,25/7/2025,NO,
C045,UPG2025,SMS,17/2/2025 5:23,NO,
C033,SAV2025,999999999,26/2/2025 20:57,YES,18/9/2025 13:40
C033,NULL,Push,16/9/2025 6:26,NO,
C007,CC2025,Push,22/1/2025 22:26,YES,3/1/2025
C001,NULL,SMS,16/1/2025 6:11,NULL,
C042,UPG2025,App,21/9/2025 4:36,NO,
C011,UPG2025,Social,18/9/2025 3:01,YES,25/9/2025 15:52
C004,UPG2025,SMS,7/1/2025 21:49,YES,2/5/2025 11:17
C041,SAV2025,Email,2/2/2025 11:12,YES,28/1/2025 7:56
C029,SAV2025,-9999,3/5/2025 7:14,NO,
C021,SAV2025,Social,22/8/2025,,
C005,SAV2025,App,19/7/2025 21:45,YES,24/7/2025 22:31
C006,SAV2025,999999999,29/3/2025 11:24,NO,
C026,UPG2025,Social,5/7/2025 3:21,YES,26/7/2025
C023,UPG2025,SMS,6/5/2025 12:12,YES,12/8/2025
C010,SAV2025,App,8/3/2025 2:12,NO,
NaN,CC2025,App,28/8/2025 7:10,,27/7/2025
C020,CC2025,SMS,16/9/2025,NO,
C039,CC2025,Push,8/7/2025 17:15,undefined,6/3/2025 3:43
C018,,App,17/7/2025,YES,8/1/2025 12:45
NULL,NULL,Email,14/6/2025,YES,5/7/2025 16:48
C046,CC2025,SMS,15/2/2025 7:18,NO,
C023,CC2025,SMS,26/8/2025,NO,
C012,SAV2025,Social,7/7/2025,YES,31/7/2025
C016,-9999,Email,30/6/2025 20:06,YES,23/4/2025 22:43
C039,SAV2025,App,9/8/2025 6:48,YES,21/1/2025
C037,999999999,SMS,12/9/2025 22:33,YES,28/6/2025
C003,UPG2025,App,25/1/2025 7:43,NO,
C050,CC2025,Push,14/2/2025,NO,
C015,CC2025,Social,27/9/2025,YES,24/6/2025
C033,NULL,App,16/4/2025 13:43,NO,
NULL,SAV2025,App,23/1/2025,YES,25/3/2025 20:15
C004,SAV2025,App,3/7/2025 11:26,NO,
error,UPG2025,NaN,7/9/2025 21:30,YES,21/9/2025 22:28
C045,NULL,App,10/3/2025 22:09,YES,2/3/2025
C044,UPG2025,SMS,21/3/2025,YES,16/4/2025 3:44
C032,SAV2025,undefined,23/1/2025 1:57,YES,8/6/2025 14:07
C030,UPG2025,SMS,5/7/2025 9:10,999999999,28/8/2025
NULL,UPG2025,Email,16/5/2025 3:41,YES,8/4/2025 17:20
C042,CC2025,Email,9/5/2025 20:15,NO,
C050,CC2025,App,16/3/2025 9:23,NO,
C007,UPG2025,Push,8/6/2025 23:39,YES,2/7/2025 10:14
C024,CC2025,Social,3/5/2025 1:02,undefined,
C004,SAV2025,Push,11/9/2025,NO,
-9999,UPG2025,???,11/2/2025 4:44,YES,25/7/2025
C013,-9999,Push,10/7/2025,NO,
C028,SAV2025,,26/5/2025 2:42,NO,
undefined,CC2025,Social,5/1/2025 21:52,NO,
C019,SAV2025,Social,15/8/2025 18:43,YES,13/2/2025 17:20
C035,UPG2025,Email,21/3/2025,NO,
C047,UPG2025,-9999,19/6/2025 19:42,error,
C031,UPG2025,Email,12/3/2025 9:55,NO,
C013,999999999,Push,18/8/2025 22:05,NO,
C038,CC2025,App,4/7/2025 16:15,YES,28/2/2025
C036,UPG2025,App,27/2/2025,NO,
C034,UPG2025,Push,9/5/2025 22:31,YES,27/2/2025
C006,CC2025,Email,7/2/2025,NO,
error,UPG2025,Email,21/9/2025,YES,29/3/2025 6:36
C009,CC2025,App,30/1/2025 12:15,YES,20/4/2025 14:19
C028,SAV2025,App,14/4/2025,NO,
C024,UPG2025,SMS,24/6/2025 23:43,YES,3/5/2025
999999999,NULL,App,23/1/2025 19:22,YES,27/2/2025
C017,CC2025,NULL,9/4/2025 22:28,NO,
C008,SAV2025,App,7/9/2025,NULL,29/5/2025 21:42
C038,CC2025,Social,18/5/2025 14:00,NO,
,CC2025,Push,17/1/2025 1:04,NO,
C026,,App,23/3/2025 22:54,YES,22/9/2025 2:23
C020,SAV2025,SMS,23/1/2025,NO,
C037,CC2025,SMS,18/7/2025 11:20,NO,
C015,SAV2025,Social,8/5/2025,YES,16/3/2025 23:42
C018,SAV2025,Email,14/9/2025 8:22,YES,13/3/2025
,CC2025,App,20/2/2025 11:50,NO,
C044,SAV2025,App,5/6/2025 10:47,NO,
C023,NULL,Social,27/7/2025,NO,
C033,CC2025,SMS,5/5/2025 7:22,YES,21/8/2025 12:28
C011,NaN,Email,3/2/2025,YES,24/6/2025 2:58
C038,NaN,-9999,5/6/2025,YES,8/8/2025
C021,SAV2025,Email,22/5/2025 8:34,YES,18/5/2025 7:45
NaN,CC2025,App,13/4/2025,NO,
NaN,UPG2025,SMS,30/1/2025 4:38,YES,24/6/2025 23:08
C035,UPG2025,Social,8/1/2025,YES,17/6/2025
C040,UPG2025,Email,22/6/2025,NaN,
C041,UPG2025,???,21/6/2025 15:38,NO,
C002,CC2025,SMS,10/6/2025,NO,
C011,SAV2025,Email,10/1/2025 4:13,NO,
C023,CC2025,App,5/8/2025,NO,
C043,UPG2025,Social,19/6/2025,unknown,
C049,error,Push,8/6/2025 20:49,NaN,
C018,CC2025,SMS,25/9/2025 16:17,YES,1/9/2025
NULL,UPG2025,,27/4/2025,NO,
C009,SAV2025,SMS,31/1/2025 17:32,NO,
C039,CC2025,999999999,18/3/2025,NO,
error,SAV2025,App,29/6/2025 22:15,999999999,
C041,CC2025,Email,19/7/2025 14:13,NO,
C043,UPG2025,unknown,8/1/2025,,29/6/2025 1:14
NULL,UPG2025,App,25/4/2025 0:16,NO,
C015,,Social,15/4/2025 10:48,YES,13/9/2025
NaN,CC2025,Push,11/3/2025 9:18,YES,8/5/2025
C029,SAV2025,SMS,27/1/2025,YES,13/8/2025
C044,999999999,NULL,27/2/2025 4:58,NO,
C033,UPG2025,Email,30/6/2025 3:48,NO,
C027,CC2025,App,23/7/2025 10:57,YES,8/1/2025 1:08
C037,CC2025,Email,23/2/2025 23:01,NO,
NULL,SAV2025,Email,7/9/2025 4:33,YES,17/3/2025 20:47
C034,CC2025,App,12/9/2025,NO,
C047,SAV2025,Push,20/5/2025 22:11,YES,23/1/2025 6:32
C024,CC2025,SMS,6/1/2025 10:44,YES,25/5/2025
C026,CC2025,Email,12/6/2025 17:26,YES,17/7/2025 13:51
C016,UPG2025,Push,14/9/2025,YES,4/5/2025 6:42
???,UPG2025,Social,26/1/2025 12:44,999999999,
C036,UPG2025,Social,11/6/2025 14:36,NO,
C033,CC2025,Social,14/7/2025,error,
C023,UPG2025,NULL,2/2/2025 12:33,error,
C005,UPG2025,Social,25/4/2025 19:48,NO,
unknown,CC2025,,25/9/2025 18:30,NO,
C049,UPG2025,App,6/7/2025 16:13,NO,
C044,SAV2025,Email,20/3/2025 21:29,undefined,
C021,CC2025,Social,5/7/2025 13:07,NO,
C007,error,Social,2/7/2025 21:51,999999999,15/2/2025 8:25
C045,SAV2025,SMS,19/8/2025,YES,22/9/2025
C032,UPG2025,SMS,2/5/2025 19:23,unknown,
C002,NaN,SMS,13/4/2025 0:36,NO,
error,UPG2025,Email,21/5/2025 10:16,NULL,
C034,UPG2025,NULL,10/9/2025 2:12,NO,
C040,CC2025,SMS,23/1/2025 22:28,YES,1/6/2025
C023,SAV2025,Email,17/7/2025,YES,10/7/2025 2:42
C006,CC2025,???,14/7/2025 12:33,NO,
C007,UPG2025,Social,25/8/2025,YES,31/8/2025 5:56
999999999,SAV2025,Social,20/9/2025 0:42,YES,21/1/2025 21:18
???,CC2025,NULL,2/3/2025,NO,
C007,CC2025,App,15/2/2025 6:36,NO,
C046,CC2025,App,5/9/2025,NULL,13/3/2025 13:52
C021,,SMS,8/4/2025 16:00,-9999,24/9/2025 8:05
C043,CC2025,error,22/7/2025 16:56,YES,5/6/2025 7:55
NULL,CC2025,Push,6/6/2025 6:08,YES,11/7/2025 14:42
C010,undefined,Email,24/6/2025,NO,
C047,CC2025,SMS,5/1/2025 17:04,NO,
C003,CC2025,App,23/4/2025 14:18,YES,21/8/2025
C014,SAV2025,Push,3/4/2025,NULL,6/2/2025 19:31
C048,SAV2025,App,13/9/2025,999999999,
C035,SAV2025,SMS,16/3/2025 22:13,YES,14/4/2025 2:03
C046,CC2025,Email,6/8/2025 4:55,NO,
C011,CC2025,Push,31/5/2025 7:55,YES,20/3/2025 9:58
C014,SAV2025,Email,29/4/2025 12:02,YES,30/5/2025 7:41
C013,CC2025,Email,18/3/2025 23:11,NO,
C003,CC2025,-9999,4/3/2025 21:59,NO,
NULL,SAV2025,undefined,29/5/2025 15:22,NO,
,CC2025,,24/5/2025 9:38,NO,
C009,CC2025,NULL,19/5/2025,YES,21/2/2025 0:22
C043,CC2025,SMS,26/1/2025 5:21,YES,18/6/2025 23:23
C005,UPG2025,Push,21/8/2025 3:47,NO,
C026,CC2025,Email,19/1/2025 1:02,YES,9/3/2025
,UPG2025,SMS,25/3/2025,YES,3/1/2025
C010,CC2025,999999999,18/2/2025 3:56,YES,19/5/2025 17:34
C016,SAV2025,,22/1/2025 16:16,YES,26/7/2025
C047,UPG2025,Push,14/9/2025 7:56,NULL,28/1/2025
,UPG2025,Email,28/4/2025 2:48,NO,
C028,CC2025,Push,23/9/2025 3:18,YES,22/4/2025 7:15
C046,SAV2025,SMS,6/5/2025 2:38,unknown,21/4/2025
C022,SAV2025,App,25/8/2025 18:58,YES,30/7/2025 13:02
C010,UPG2025,SMS,19/9/2025 21:10,,13/3/2025
C046,SAV2025,NaN,2/1/2025 15:02,NO,
C049,UPG2025,Social,2/2/2025,NO,
C006,UPG2025,SMS,28/6/2025,,12/9/2025
C004,NULL,Push,27/8/2025 21:37,YES,20/9/2025
C042,UPG2025,Push,1/3/2025,YES,29/4/2025 7:12
